Explainer,Model,Dataset,AB,score,score_bottom,score_top,kendall,random,noise,Skew,Samples,HC,ConfVars
ShapKernelKmeans,LogisticRegression,0_vars_corr_0HC_n800.csv,A,3.3350185220887276,0.06027465131744388,0.03750018746227196,0.3333333333333334,0.8683579491309764,0.0033714422257973852,0.5,800.0,0.0,0.0
ShapKernelKmeans,LogisticRegression,0_vars_corr_0HC_n900.csv,A,3.049406930584122,0.10247245604870758,0.07767344566870132,0.6666666666666669,0.830785170394819,0.0008516497708156694,0.5,900.0,0.0,0.0
ShapKernelKmeans,LogisticRegression,1_vars_corr_1HC_n100.csv,A,3.235262285913515,0.06880236481274046,0.06377500031299839,0.3333333333333334,0.8658814913223729,0.015789037335276253,0.5,100.0,1.0,1.0
ShapKernelKmeans,LogisticRegression,1_vars_corr_1HC_n1000.csv,A,2.8643994786892004,0.10827850111304685,0.09934455042529663,0.3333333333333334,0.7974722449612797,0.00037552162883825087,0.5,1000.0,1.0,1.0
ShapKernelKmeans,LogisticRegression,1_vars_corr_1HC_n300.csv,A,2.6709170853519497,0.10521415939746621,0.13946876535983047,0.3333333333333334,0.7806012293205307,0.009596561145925,0.5,300.0,1.0,1.0
ShapKernelKmeans,LogisticRegression,1_vars_corr_1HC_n500.csv,A,2.916131133634671,0.08175703466450948,0.07149889835035314,0.6666666666666669,0.7901432840740914,0.0029334253418583124,0.5,500.0,1.0,1.0
ShapKernelKmeans,LogisticRegression,1_vars_corr_1HC_n700.csv,A,2.8174821439471582,0.08207984776227271,0.0850172386240678,0.3333333333333334,0.7728860435742888,0.003951071732052452,0.5,700.0,1.0,1.0
ShapKernelKmeans,LogisticRegression,1_vars_corr_1HC_n900.csv,A,3.199277580127916,0.10354827754139559,0.020449429134614384,0.6666666666666669,0.8181296824793325,0.00012904255134146454,0.5,900.0,1.0,1.0
ShapKernelKmeans,LogisticRegression,2_vars_corr_1HC_n100.csv,A,3.481087771877246,0.026254487053531207,0.05006331413925602,0.6666666666666669,0.9172988800423463,0.04125929479472511,0.5,100.0,1.0,2.0
ShapKernelKmeans,LogisticRegression,2_vars_corr_1HC_n1000.csv,A,3.1447447481741015,0.06644895313375074,0.12670357338140004,0.6666666666666669,0.9042086194943499,0.001245625424487879,0.5,1000.0,1.0,2.0
ShapKernelKmeans,LogisticRegression,2_vars_corr_1HC_n300.csv,A,3.2096616135095593,0.07358244626775393,0.08198693874206799,0.3333333333333334,0.8753321377286547,0.0025226181848786236,0.5,300.0,1.0,2.0
ShapKernelKmeans,LogisticRegression,2_vars_corr_1HC_n500.csv,A,3.2473167139467334,0.0506394328690427,0.08953019788433295,0.6666666666666669,0.8931778420766786,0.006756038432292838,0.5,500.0,1.0,2.0
ShapKernelKmeans,LogisticRegression,2_vars_corr_1HC_n700.csv,A,3.123145211549747,0.07702516005799107,0.05532905042691529,0.6666666666666669,0.8287101034877363,0.00173376213435712,0.5,700.0,1.0,2.0
ShapKernelKmeans,LogisticRegression,2_vars_corr_1HC_n900.csv,A,3.126222423865266,0.07391436284820602,0.10453425975286446,0.6666666666666669,0.8752934893311963,0.001948294239002836,0.5,900.0,1.0,2.0
ShapKernelKmeans,LogisticRegression,2_vars_corr_2HC_n100.csv,A,2.4401302527094964,0.1747792514846754,0.17024857378236916,0.6666666666666669,0.7473351683936966,0.011539641609949169,0.5,100.0,2.0,2.0
ShapKernelKmeans,LogisticRegression,2_vars_corr_2HC_n1000.csv,A,3.212613755632239,0.04652820191633209,0.06809825058064442,0.6666666666666669,0.86308071725734,0.0034470555004296665,0.5,1000.0,2.0,2.0
ShapKernelKmeans,LogisticRegression,2_vars_corr_2HC_n300.csv,A,2.601580961862688,0.12781587102774097,0.19812346050816912,1.0,0.8175592783814081,0.00522846990442955,0.5,300.0,2.0,2.0
ShapKernelKmeans,LogisticRegression,2_vars_corr_2HC_n500.csv,A,2.9024682600536353,0.12409247920710346,0.10318290712088793,0.6666666666666669,0.8111972678350835,0.006495324737770725,0.5,500.0,2.0,2.0
ShapKernelKmeans,LogisticRegression,2_vars_corr_2HC_n700.csv,A,3.2184322943006456,0.08310149276436894,0.03655079267960286,0.6666666666666669,0.837000284962456,0.0008964066242734325,0.5,700.0,2.0,2.0
